source,relation,target,abbr,evidence
P:Tcruzi,causes,D:Chagas,PcD,curated_seed
P:Tbrucei,causes,D:HAT,PcD,curated_seed
P:Leishmania,causes,D:Leish,PcD,curated_seed
P:Smansoni,causes,D:Schisto,PcD,curated_seed
P:Wbancrofti,causes,D:LF,PcD,curated_seed
P:Ovolvulus,causes,D:Oncho,PcD,curated_seed
P:Alumbricoides,causes,D:STH,PcD,curated_seed
P:Ctrachomatis,causes,D:Trachoma,PcD,curated_seed
P:Mleprae,causes,D:Leprosy,PcD,curated_seed
P:Tsolium,causes,D:Taeniasis,PcD,curated_seed
P:Egranulosus,causes,D:Echino,PcD,curated_seed
P:Sscabiei,causes,D:Scabies,PcD,curated_seed
V:Triatomine,transmits,P:Tcruzi,VtP,curated_seed
V:Tsetse,transmits,P:Tbrucei,VtP,curated_seed
V:Sandfly,transmits,P:Leishmania,VtP,curated_seed
V:Snail,transmits,P:Smansoni,VtP,curated_seed
V:CulexMosquito,transmits,P:Wbancrofti,VtP,curated_seed
V:Blackfly,transmits,P:Ovolvulus,VtP,curated_seed
P:Tcruzi,hasGene,PG:TryR,PhPG,curated_seed
P:Tbrucei,hasGene,PG:TryR,PhPG,curated_seed
P:Leishmania,hasGene,PG:TryR,PhPG,curated_seed
P:Tcruzi,hasGene,PG:NTR,PhPG,curated_seed
P:Tbrucei,hasGene,PG:NTR,PhPG,curated_seed
P:Tbrucei,hasGene,PG:ODC1_path,PhPG,curated_seed
P:Tbrucei,hasGene,PG:PyrK_path,PhPG,curated_seed
P:Smansoni,hasGene,PG:TRPMPZQ,PhPG,curated_seed
P:Ovolvulus,hasGene,PG:GluCl,PhPG,curated_seed
P:Wbancrofti,hasGene,PG:GluCl,PhPG,curated_seed
P:Alumbricoides,hasGene,PG:GluCl,PhPG,curated_seed
P:Sscabiei,hasGene,PG:GluCl,PhPG,curated_seed
P:Wbancrofti,hasGene,PG:BetaTub,PhPG,curated_seed
P:Alumbricoides,hasGene,PG:BetaTub,PhPG,curated_seed
P:Tsolium,hasGene,PG:BetaTub,PhPG,curated_seed
P:Tbrucei,hasGene,PG:DHFR_path,PhPG,curated_seed
P:Leishmania,hasGene,PG:kDNA_topo,PhPG,curated_seed
P:Tbrucei,hasGene,PG:kDNA_topo,PhPG,curated_seed
P:Leishmania,hasGene,PG:PhosphoMeta,PhPG,curated_seed
P:Leishmania,hasGene,PG:Ergosterol_path,PhPG,curated_seed
P:Ctrachomatis,hasGene,PG:Ribosome30S,PhPG,curated_seed
P:Ctrachomatis,hasGene,PG:Ribosome50S,PhPG,curated_seed
P:Mleprae,hasGene,PG:RNAPol_myco,PhPG,curated_seed
P:Mleprae,hasGene,PG:DHPS_myco,PhPG,curated_seed
P:Tsolium,hasGene,PG:OxPhos_helminth,PhPG,curated_seed
P:Leishmania,hasGene,PG:ThioredoxinR,PhPG,curated_seed
PG:ODC1_path,orthologOf,G:ODC1,PGoG,curated_seed
PG:ThioredoxinR,orthologOf,G:TXNRD1,PGoG,curated_seed
PG:BetaTub,orthologOf,G:TUBB,PGoG,curated_seed
PG:GluCl,orthologOf,G:GABRA1,PGoG,curated_seed
PG:DHFR_path,orthologOf,G:DHFR,PGoG,curated_seed
PG:ODC1_path,participates,PW:Polyamine,PGpPW,curated_seed
G:ODC1,participates,PW:Polyamine,GpPW,curated_seed
PG:TryR,participates,PW:TrypanothioneMetab,PGpPW,curated_seed
PG:kDNA_topo,participates,PW:TrypanothioneMetab,PGpPW,curated_seed
PG:BetaTub,participates,PW:Microtubule,PGpPW,curated_seed
G:TUBB,participates,PW:Microtubule,GpPW,curated_seed
PG:GluCl,participates,PW:CysLoopSignaling,PGpPW,curated_seed
G:GABRA1,participates,PW:CysLoopSignaling,GpPW,curated_seed
G:P2RX4,participates,PW:Purinergic,GpPW,curated_seed
G:AKT1,participates,PW:PI3K_Akt,GpPW,curated_seed
PG:PhosphoMeta,participates,PW:PI3K_Akt,PGpPW,curated_seed
PG:DHFR_path,participates,PW:FolateMetab,PGpPW,curated_seed
G:DHFR,participates,PW:FolateMetab,GpPW,curated_seed
PG:ThioredoxinR,participates,PW:TrypanothioneMetab,PGpPW,curated_seed
PC:Nitroheterocyclic,includes,C:Benznidazole,PCiC,curated_seed
PC:Nitroheterocyclic,includes,C:Nifurtimox,PCiC,curated_seed
PC:Nitroheterocyclic,includes,C:Fexinidazole,PCiC,curated_seed
PC:Benzimidazole,includes,C:Albendazole,PCiC,curated_seed
PC:Benzimidazole,includes,C:Mebendazole,PCiC,curated_seed
PC:Macrocyclic_lactone,includes,C:Ivermectin,PCiC,curated_seed
PC:Antileishmanial,includes,C:Miltefosine,PCiC,curated_seed
PC:Antileishmanial,includes,C:AmphotericinB,PCiC,curated_seed
C:Benznidazole,binds,PG:TryR,CbPG,curated_seed_moa
C:Benznidazole,binds,PG:NTR,CbPG,curated_seed_moa
C:Nifurtimox,binds,PG:NTR,CbPG,curated_seed_moa
C:Nifurtimox,binds,PG:TryR,CbPG,curated_seed_moa
C:Fexinidazole,binds,PG:NTR,CbPG,curated_seed_moa
C:Melarsoprol,binds,PG:PyrK_path,CbPG,curated_seed_moa
C:Melarsoprol,binds,PG:TryR,CbPG,curated_seed_moa
C:Eflornithine,binds,PG:ODC1_path,CbPG,curated_seed_moa
C:Suramin,binds,PG:DHFR_path,CbPG,curated_seed_moa
C:Pentamidine,binds,PG:kDNA_topo,CbPG,curated_seed_moa
C:Miltefosine,binds,PG:PhosphoMeta,CbPG,curated_seed_moa
C:AmphotericinB,binds,PG:Ergosterol_path,CbPG,curated_seed_moa
C:Praziquantel,binds,PG:TRPMPZQ,CbPG,curated_seed_moa
C:Ivermectin,binds,PG:GluCl,CbPG,curated_seed_moa
C:Albendazole,binds,PG:BetaTub,CbPG,curated_seed_moa
C:Mebendazole,binds,PG:BetaTub,CbPG,curated_seed_moa
C:Doxycycline,binds,PG:Ribosome30S,CbPG,curated_seed_moa
C:Azithromycin,binds,PG:Ribosome50S,CbPG,curated_seed_moa
C:Rifampicin,binds,PG:RNAPol_myco,CbPG,curated_seed_moa
C:Dapsone,binds,PG:DHPS_myco,CbPG,curated_seed_moa
C:Niclosamide,binds,PG:OxPhos_helminth,CbPG,curated_seed_moa
C:Auranofin,binds,PG:ThioredoxinR,CbPG,curated_seed_moa
C:Fluoxetine,binds,PG:kDNA_topo,CbPG,curated_seed_moa
C:Auranofin,binds,G:TXNRD1,CbG,curated_seed
C:Fluoxetine,binds,G:P2RX4,CbG,curated_seed
C:Miltefosine,binds,G:AKT1,CbG,curated_seed
C:Benznidazole,treats,D:Chagas,CtD,approved_indication
C:Nifurtimox,treats,D:Chagas,CtD,approved_indication
C:Nifurtimox,treats,D:HAT,CtD,approved_indication
C:Fexinidazole,treats,D:HAT,CtD,approved_indication
C:Melarsoprol,treats,D:HAT,CtD,approved_indication
C:Eflornithine,treats,D:HAT,CtD,approved_indication
C:Suramin,treats,D:HAT,CtD,approved_indication
C:Pentamidine,treats,D:HAT,CtD,approved_indication
C:Pentamidine,treats,D:Leish,CtD,approved_indication
C:Miltefosine,treats,D:Leish,CtD,approved_indication
C:AmphotericinB,treats,D:Leish,CtD,approved_indication
C:Praziquantel,treats,D:Schisto,CtD,approved_indication
C:Praziquantel,treats,D:Taeniasis,CtD,approved_indication
C:Ivermectin,treats,D:Oncho,CtD,approved_indication
C:Ivermectin,treats,D:LF,CtD,approved_indication
C:Ivermectin,treats,D:STH,CtD,approved_indication
C:Ivermectin,treats,D:Scabies,CtD,approved_indication
C:DEC,treats,D:LF,CtD,approved_indication
C:Albendazole,treats,D:LF,CtD,approved_indication
C:Albendazole,treats,D:STH,CtD,approved_indication
C:Albendazole,treats,D:Echino,CtD,approved_indication
