id,name,kind,doid,mesh_id,umls_cui,ncbi_gene_id,uniprot_id,go_ids,drugbank_id,drugcentral_id,reactome_id,wikipathways_id,uberon_id,meddra_id
D:Chagas,Chagas disease,Disease,,D014355,,,,,,,,,,
D:HAT,Human African trypanosomiasis,Disease,,D014353,,,,,,,,,,
D:Leish,Leishmaniasis,Disease,,,,,,,,,,,,
D:Schisto,Schistosomiasis,Disease,,,,,,,,,,,,
D:LF,Lymphatic filariasis,Disease,,,,,,,,,,,,
D:Oncho,Onchocerciasis,Disease,,,,,,,,,,,,
D:STH,Soil-transmitted helminthiasis,Disease,,,,,,,,,,,,
D:Trachoma,Trachoma,Disease,,,,,,,,,,,,
D:Leprosy,Leprosy,Disease,,,,,,,,,,,,
D:Taeniasis,Taeniasis/Cysticercosis,Disease,,,,,,,,,,,,
D:Echino,Echinococcosis,Disease,,,,,,,,,,,,
D:Scabies,Scabies,Disease,,,,,,,,,,,,
P:Tcruzi,Trypanosoma cruzi,Pathogen,,,,,,,,,,,,
P:Tbrucei,Trypanosoma brucei,Pathogen,,,,,,,,,,,,
P:Leishmania,Leishmania donovani,Pathogen,,,,,,,,,,,,
P:Smansoni,Schistosoma mansoni,Pathogen,,,,,,,,,,,,
P:Wbancrofti,Wuchereria bancrofti,Pathogen,,,,,,,,,,,,
P:Ovolvulus,Onchocerca volvulus,Pathogen,,,,,,,,,,,,
P:Alumbricoides,Ascaris lumbricoides,Pathogen,,,,,,,,,,,,
P:Ctrachomatis,Chlamydia trachomatis,Pathogen,,,,,,,,,,,,
P:Mleprae,Mycobacterium leprae,Pathogen,,,,,,,,,,,,
P:Tsolium,Taenia solium,Pathogen,,,,,,,,,,,,
P:Egranulosus,Echinococcus granulosus,Pathogen,,,,,,,,,,,,
P:Sscabiei,Sarcoptes scabiei,Pathogen,,,,,,,,,,,,
V:Triatomine,Triatomine bug,Vector,,,,,,,,,,,,
V:Tsetse,Tsetse fly,Vector,,,,,,,,,,,,
V:Sandfly,Sandfly,Vector,,,,,,,,,,,,
V:Snail,Freshwater snail (Biomphalaria),Vector,,,,,,,,,,,,
V:CulexMosquito,Culex mosquito,Vector,,,,,,,,,,,,
V:Blackfly,Blackfly (Simulium),Vector,,,,,,,,,,,,
PG:TryR,Trypanothione reductase,PathogenGene,,,,,,,,,,,,
PG:NTR,Type I nitroreductase,PathogenGene,,,,,,,,,,,,
PG:ODC1_path,Ornithine decarboxylase (pathogen),PathogenGene,,,,,,,,,,,,
PG:PyrK_path,Pyruvate kinase (pathogen),PathogenGene,,,,,,,,,,,,
PG:TRPMPZQ,TRPM-PZQ calcium channel,PathogenGene,,,,,,,,,,,,
PG:GluCl,Glutamate-gated chloride channel,PathogenGene,,,,,,,,,,,,
PG:BetaTub,Beta-tubulin (pathogen),PathogenGene,,,,,,,,,,,,
PG:DHFR_path,Dihydrofolate reductase (pathogen),PathogenGene,,,,,,,,,,,,
PG:kDNA_topo,Kinetoplast DNA topoisomerase,PathogenGene,,,,,,,,,,,,
PG:PhosphoMeta,Phospholipid metabolism enzyme,PathogenGene,,,,,,,,,,,,
PG:Ergosterol_path,Ergosterol/sterol biosynthesis,PathogenGene,,,,,,,,,,,,
PG:Ribosome30S,Bacterial 30S ribosomal subunit,PathogenGene,,,,,,,,,,,,
PG:Ribosome50S,Bacterial 50S ribosomal subunit,PathogenGene,,,,,,,,,,,,
PG:RNAPol_myco,Mycobacterial RNA polymerase,PathogenGene,,,,,,,,,,,,
PG:DHPS_myco,Dihydropteroate synthase (mycobacterial),PathogenGene,,,,,,,,,,,,
PG:OxPhos_helminth,Oxidative phosphorylation (helminth),PathogenGene,,,,,,,,,,,,
PG:ThioredoxinR,Thioredoxin reductase (protozoal),PathogenGene,,,,,,,,,,,,
G:ODC1,ODC1 (human ornithine decarboxylase),Gene,,,,,,,,,,,,
G:TXNRD1,TXNRD1 (human thioredoxin reductase 1),Gene,,,,,,,,,,,,
G:TUBB,TUBB (human beta-tubulin),Gene,,,,,,,,,,,,
G:GABRA1,"GABRA1 (human GABA-A receptor, Cys-loop family)",Gene,,,,,,,,,,,,
G:P2RX4,P2RX4 (human purinergic receptor),Gene,,,,,,,,,,,,
G:AKT1,"AKT1 (human, phospholipid/Akt signaling)",Gene,,,,,,,,,,,,
G:DHFR,DHFR (human dihydrofolate reductase),Gene,,,,,,,,,,,,
PW:Polyamine,Polyamine biosynthesis pathway,Pathway,,,,,,,,,,,,
PW:TrypanothioneMetab,Trypanothione/redox metabolism,Pathway,,,,,,,,,,,,
PW:Microtubule,Microtubule dynamics,Pathway,,,,,,,,,,,,
PW:CysLoopSignaling,Cys-loop ion channel signaling,Pathway,,,,,,,,,,,,
PW:Purinergic,Purinergic signaling,Pathway,,,,,,,,,,,,
PW:PI3K_Akt,PI3K/Akt signaling,Pathway,,,,,,,,,,,,
PW:FolateMetab,Folate metabolism,Pathway,,,,,,,,,,,,
PC:Nitroheterocyclic,Nitroheterocyclic antiparasitics,PharmacologicClass,,,,,,,,,,,,
PC:Benzimidazole,Benzimidazole anthelmintics,PharmacologicClass,,,,,,,,,,,,
PC:Macrocyclic_lactone,Macrocyclic lactone antiparasitics,PharmacologicClass,,,,,,,,,,,,
PC:Antileishmanial,Antileishmanial agents,PharmacologicClass,,,,,,,,,,,,
SE:Nausea,Nausea,SideEffect,,,,,,,,,,,,
SE:PeripheralNeuropathy,Peripheral neuropathy,SideEffect,,,,,,,,,,,,
SE:Hepatotoxicity,Hepatotoxicity,SideEffect,,,,,,,,,,,,
